date,text,emotion
"Date:2/1/2022","hi there","anger"
"Date:2/1/2022","hey","neutral"
"Date:2/1/2022","i am happy today","happiness"
"Date:2/1/2022","what should I do?","neutral"
"Date:2/1/2022","I had lot of homework today. I could not get time to spend with the my friends.","worry"
"Date:3/11/2023","i am sad","worry"
"Date:3/11/2023","I am crying","worry"
"Date:3/14/2023","It was an amazing day","love"
"Date:3/14/2023","I cried yesterday, because my mom didnt by me a watch","sadness"
"Date:3/15/2023","i was happy ","happiness"
"Date:3/15/2023","i was happy ","happiness"
